T,M,C,chi,ksai
,,,,
3,0.9974336,5.71E-06,1.37E-06,0.176810982
,,,,
5,0.9528576,6.05E-05,4.88E-05,0.275285261
,,,,
6,0.8887872,0.000150875,0.000118947,0.315428089
,,,,
6.5,0.8438848,0.000265793,0.000165259,0.348520268
,,,,
6.7,0.8189248,0.000287039,0.000293317,0.35689117
,,,,
7.2,0.7481792,0.000300294,0.000602673,0.38063515
,,,,
7.4,0.7113856,0.000395142,0.002833989,0.384343426
,,,,
7.5,0.6839552,0.000355343,0.004596026,0.387010932
,,,,
7.55,0.680736,0.000320828,0.002696982,0.391071373
,,,,
7.6,0.6646272,0.000338177,0.001418428,0.397752833
,,,,
7.63,0.6399296,0.000663963,0.017068703,0.387798214
,,,,
7.66,0.6492096,0.000410693,0.003516923,0.397123572
,,,,
7.68,0.6464256,0.000487775,0.005936303,0.401474611
,,,,
7.7,0.6429248,0.000527494,0.009078942,0.393802568
,,,,
7.73,0.6272896,0.000406025,0.007617942,0.39968786
,,,,
7.76,0.6297024,0.000394603,0.003463161,0.410276352
,,,,
7.8,0.6097216,0.00042523,0.008034441,0.404177537
,,,,
7.85,0.5882688,0.00059425,0.014464222,0.399948557
,,,,
8,0.5586752,0.000420762,0.004644784,0.417970008
,,,,
8.3,0.4388672,0.000401871,0.01009292,0.425618231
,,,,
8.5,0.338304,0.000352249,0.010249138,0.437058624
,,,,
8.666666667,0.2188544,0.000203565,0.012977753,0.443608876
,,,,
8.7,0.1909184,0.000193897,0.01159733,0.438017512
,,,,
8.833333333,0.1389056,0.000159269,0.007348555,0.438461097
,,,,
9,0.0835712,0.000151184,0.003964245,0.413345675
,,,,
9.166666667,0.068448,0.000131497,0.002616331,0.40975993
,,,,
9.333333333,0.0529984,0.000100972,0.001715083,0.424477346
,,,,
9.4,0.064096,0.000102642,0.001953598,0.424572507
,,,,
9.5,0.0502464,0.000116861,0.001532498,0.429699297
,,,,
9.666666667,0.0571072,0.00011274,0.001147092,0.408491441
,,,,
9.8,0.036096,8.05E-05,0.00099915,0.394127986
,,,,
9.833333333,0.033984,6.58E-05,0.000660677,0.426448997
,,,,
10,0.0310016,0.000110488,0.000874773,0.034614448
